DATE,XTEXVA01KRM667S
2018-07-01,50921087118.7176
2018-08-01,52753744767.9436
2018-09-01,49989717458.3692
2018-10-01,54168312943.9038
2018-11-01,50919191337.422295
2018-12-01,47440442884.6279
2019-01-01,48378132752.631996
2019-02-01,44339432942.9456
2019-03-01,45178859743.9236
2019-04-01,47685882567.811806
2019-05-01,46268155678.251
2019-06-01,43383638606.5275
2019-07-01,45197702722.7673
2019-08-01,45384491555.7041
2019-09-01,44094831592.3268
2019-10-01,45974639787.320694
2019-11-01,44105766538.1445
2019-12-01,44248747805.5404
2020-01-01,45681539363.8067
2020-02-01,45224962024.245
2020-03-01,44817083836.9117
2020-04-01,35125138980.7433
2020-05-01,35510472087.8415
2020-06-01,38700882132.181496
2020-07-01,41628672948.038795
2020-08-01,41246449520.1559
2020-09-01,46460284656.6831
2020-10-01,45142234018.0641
2020-11-01,45365407067.5148
2020-12-01,50162892924.7451
2021-01-01,50264524388.0637
2021-02-01,49925579273.8304
2021-03-01,51323088416.2177
2021-04-01,50256572819.137405
2021-05-01,51268266925.334305
2021-06-01,54085026934.0475
2021-07-01,54115465126.8797
2021-08-01,55070183421.709
2021-09-01,54723920501.5735
2021-10-01,56187331166.958405
2021-11-01,59927842777.4141
2021-12-01,59470892501.477005
2022-01-01,57902452456.6505
2022-02-01,60753701980.4921
2022-03-01,60284382488.1739
2022-04-01,57548208248.9985
2022-05-01,61162060567.2056
2022-06-01,57671518456.6838
2022-07-01,58106238193.8526
2022-08-01,58838029303.1294
2022-09-01,55821485038.1324
2022-10-01,53041930347.3306
2022-11-01,51788211167.156494
2022-12-01,53443742664.753204
2023-01-01,48772260695.108894
2023-02-01,55638628508.263
2023-03-01,52516281999.8392
2023-04-01,48566533407.708496
2023-05-01,52419227574.4235
2023-06-01,53561423597.1087
2023-07-01,49121300836.9839
2023-08-01,53513440034.1555
